id,counter,size,count
0x0001e700,0,6,1
0x0001ff01,0,2,1
0x0001e123,1,4,1
0x0001e475,0,17,1
0x0001e263,1,4,1
0x0001e563,1,4,1
0x0001e162,0,2,1
0x0001eb79,0,17,1
0x0001ee64,0,16,1
0x0001e124,0,26,1
0x0001e125,0,8,1
0x0001e126,0,10,1
0x0001e127,0,2,1
0x0001e128,0,24,1
0x0001e129,0,1,1
0x0001e12a,0,8,1
0x0001e12c,0,4,1
0x00010500,0,13,128
0x00010580,0,11,64
0x00010600,0,25,127
0x0001892c,0,25,1
0x00011000,0,4,128
0x00010700,0,1,64
0x0001e501,0,16,1
0x0001e502,0,40,1
0x0001e258,0,18,1
0x00010380,0,52,5
0x00010800,0,11,64
0x00010880,0,1,64
0x0001e220,1,4,1
